customer,wine,time,nrBottles,nrcases
355,682,441,93,2
163,336,296,95,2
584,352,72,73,2
965,10,715,33,2
465,149,803,60,5
936,205,960,95,1
806,840,230,15,5
560,555,608,77,7
189,572,640,87,1
646,505,151,44,4
116,898,705,69,7
694,290,976,74,5
686,746,620,16,10
700,250,969,17,9
109,434,682,86,5
332,362,524,46,1
828,972,241,33,1
313,551,494,95,4
27,758,813,79,2
361,721,964,75,1
441,924,376,44,8
417,719,190,29,1
276,323,911,38,4
766,199,752,2,10
728,280,627,25,9
451,650,510,43,8
208,23,443,55,2
740,415,256,39,1
480,331,226,19,2
662,601,221,86,6
859,632,852,54,5
259,804,765,4,5
727,558,855,80,6
150,370,511,87,10
276,354,133,46,3
276,967,353,75,8
641,938,417,49,2
121,738,560,5,10
614,41,214,94,4
744,549,894,8,7
377,90,341,61,9
642,569,629,3,8
927,48,335,53,4
62,891,254,100,1
501,94,182,96,2
835,423,954,33,8
807,422,391,57,5
355,49,769,15,6
966,612,734,8,6
825,897,180,10,5
69,923,621,77,1
594,409,286,89,6
818,534,633,40,9
598,920,364,71,8
570,622,624,100,6
539,842,729,25,10
108,143,642,50,5
170,725,35,1,1
710,390,535,37,8
573,755,49,68,1
591,595,614,5,10
798,271,775,72,2
857,978,590,72,3
278,460,872,3,3
747,761,635,40,5
921,39,438,63,3
965,661,368,11,8
438,502,900,37,6
9,319,390,78,7
368,776,973,29,9
795,973,632,71,1
330,190,59,69,9
332,428,465,17,10
716,293,189,8,9
534,14,292,75,4
460,599,902,80,9
505,835,481,12,3
515,616,573,98,3
411,587,38,32,6
388,766,550,52,2
151,875,506,1,6
681,824,369,60,7
351,613,492,1,5
11,306,393,88,5
276,658,189,22,3
784,883,836,91,3
138,719,1000,84,2
775,418,414,40,9
660,367,36,15,4
393,950,748,93,10
820,836,940,60,1
384,907,866,99,5
306,250,32,13,6
894,606,150,23,1
581,711,273,9,6
546,443,80,97,3
881,12,965,23,8
4,169,76,14,2
515,759,563,63,5
776,592,616,85,8
297,716,361,20,7
713,519,508,45,8
290,633,599,31,7
394,359,311,72,5
637,74,824,35,8
131,510,268,1,3
377,709,696,10,10
985,330,146,89,7
624,89,466,97,3
126,748,713,77,7
297,562,152,19,8
969,519,415,5,7
242,894,252,88,4
494,340,79,29,3
454,234,8,48,1
37,694,931,60,10
926,244,259,85,6
1,406,116,35,7
731,594,533,51,8
475,661,50,52,10
369,459,683,83,9
735,245,422,42,5
801,247,512,4,5
326,83,507,52,3
163,456,526,49,2
458,383,473,47,3
763,39,294,41,9
385,920,481,99,9
782,736,60,2,3
395,444,894,74,10
83,435,714,76,1
117,815,493,11,5
504,503,122,91,5
107,851,937,65,7
354,7,478,49,8
653,142,793,88,3
521,358,546,89,4
330,991,352,76,7
599,67,895,81,5
107,71,864,39,8
421,431,622,32,10
82,693,189,100,8
314,425,334,6,2
390,234,803,14,1
82,958,532,91,6
725,834,257,75,9
285,591,593,35,8
691,591,899,42,1
932,781,27,53,4
485,167,650,28,4
421,486,603,60,10
566,746,945,27,5
278,211,7,40,9
576,218,874,39,2
391,979,537,9,3
234,720,827,47,5
997,727,982,37,4
971,517,500,34,2
239,197,656,67,2
151,242,837,41,2
223,834,840,56,8
724,297,21,20,1
463,186,970,95,10
645,140,866,84,7
512,824,147,98,1
170,998,244,5,8
662,782,599,61,8
335,483,369,51,1
261,489,416,23,9
172,458,755,41,10
444,441,313,39,7
307,727,66,44,9
646,804,43,24,2
542,127,555,81,6
467,777,280,81,3
887,645,277,74,2
425,740,417,7,1
536,819,94,91,3
89,727,763,92,3
497,661,283,45,6
4,591,942,73,9
782,27,950,95,4
453,534,849,29,6
7,905,77,45,7
109,442,122,26,9
871,718,470,14,4
119,456,649,16,6
289,543,435,46,5
329,753,862,80,4
914,616,915,84,10
106,268,524,57,2
713,641,157,56,2
232,254,217,78,6
500,838,240,19,4
805,748,548,31,2
991,890,629,75,8
605,621,262,55,4
849,966,215,51,7
617,287,17,2,2
211,614,373,52,4
997,835,879,79,2
983,853,718,6,10
405,39,524,97,10
317,862,546,41,3
400,561,941,41,7
964,150,992,4,10
134,953,458,79,2
261,53,129,62,6
850,725,832,17,2
453,959,370,42,7
347,402,16,9,8
548,321,60,71,10
49,903,894,11,1
185,527,480,45,3
562,108,223,76,2
