code,timeStamp,date,year
1,4:20:55.000,1993-08-18 09:46:21,1993
2,22:02:25.000,2003-06-21 17:26:57,2003
3,23:52:58.000,1992-05-06 14:33:56,1992
4,3:41:48.000,1995-12-23 18:54:17,1995
5,11:03:03.000,2011-07-19 04:41:15,2011
6,5:07:05.000,2013-09-07 03:32:31,2013
7,2:18:56.000,2004-11-18 12:13:07,2004
8,21:39:52.000,1999-07-12 17:42:12,1999
9,7:05:47.000,1997-05-31 12:23:26,1997
10,18:23:20.000,2015-03-14 11:12:21,2015
11,11:36:25.000,2013-05-05 10:55:02,2013
12,10:07:36.000,2005-03-29 23:08:18,2005
13,7:48:10.000,2014-02-16 00:16:16,2014
14,5:30:43.000,2007-12-16 10:04:57,2007
15,5:26:35.000,2002-03-13 20:11:43,2002
16,21:44:52.000,1995-04-12 07:57:32,1995
17,21:20:45.000,1994-04-22 01:41:55,1994
18,10:49:36.000,2000-09-27 07:53:10,2000
19,6:57:02.000,2009-12-01 14:14:25,2009
20,0:11:16.000,2017-04-18 05:51:54,2017
21,22:18:58.000,1994-03-16 07:45:20,1994
22,8:07:00.000,1991-05-17 19:08:17,1991
23,0:59:27.000,2012-12-28 00:55:26,2012
24,21:41:09.000,2006-02-11 17:47:31,2006
25,18:31:41.000,1999-07-14 03:27:35,1999
26,18:34:27.000,1994-02-28 15:09:40,1994
27,18:08:16.000,1992-03-15 19:39:33,1992
28,16:49:38.000,2012-02-04 10:54:14,2012
29,12:44:49.000,2010-12-11 14:14:57,2010
30,11:32:22.000,2002-07-11 13:02:21,2002
31,15:41:45.000,1993-12-19 17:53:20,1993
32,14:55:21.000,1993-03-28 12:12:34,1993
33,1:57:35.000,2017-03-14 16:28:13,2017
34,4:03:00.000,1996-10-10 10:05:06,1996
35,12:48:58.000,1994-05-02 04:25:42,1994
36,16:45:35.000,2009-08-23 08:45:17,2009
37,8:46:21.000,1990-12-18 14:28:06,1990
38,7:07:37.000,1990-11-12 03:15:26,1990
39,12:58:00.000,1999-03-15 00:12:54,1999
40,18:13:28.000,2012-04-15 09:29:08,2012
41,14:29:20.000,1996-11-01 05:37:57,1996
42,8:01:05.000,2007-03-28 05:14:01,2007
43,16:58:18.000,2000-04-26 22:17:06,2000
44,21:51:20.000,2009-01-27 15:31:15,2009
45,4:25:58.000,2008-02-19 01:19:09,2008
46,2:57:11.000,2012-03-29 08:38:18,2012
47,17:03:54.000,1995-07-25 03:16:01,1995
48,14:25:42.000,1998-04-12 11:40:41,1998
49,13:53:15.000,2002-04-22 06:12:55,2002
50,12:27:14.000,2011-03-27 00:36:45,2011
51,14:10:59.000,1997-03-20 02:17:56,1997
52,1:38:32.000,2002-08-09 04:37:39,2002
53,21:28:51.000,2005-03-17 10:33:54,2005
54,15:46:59.000,2001-05-05 16:01:08,2001
55,19:08:03.000,2003-10-15 17:05:24,2003
56,16:09:27.000,2015-03-13 10:39:18,2015
57,4:23:47.000,2006-10-04 21:19:23,2006
58,17:47:24.000,2009-11-08 00:08:32,2009
59,4:27:16.000,2011-03-30 18:04:48,2011
