id,nombre,precio,localidad,tipoProducto
1,Nathan,$852.82,2,8
2,Abramo,$249.03,2,7
3,Ethelyn,$769.93,4,2
4,Von,$32.94,7,2
5,Latrena,$762.18,5,10
6,Ancell,$511.36,3,9
7,Boy,$416.98,5,2
8,Holly-anne,$255.66,10,8
9,Jule,$344.74,6,10
10,Korie,$784.19,4,9
11,Burg,$915.85,9,3
12,Pepe,$398.38,10,8
13,Hilde,$953.53,8,4
14,Meaghan,$723.84,7,10
15,Chen,$908.43,10,2
16,Rutledge,$504.21,10,2
17,Leanora,$165.69,8,5
18,Butch,$330.47,8,2
19,Annmaria,$292.36,7,5
20,Sly,$161.02,6,5
21,Vicky,$758.12,9,1
22,Cordy,$289.10,3,5
23,Galina,$648.18,1,7
24,Odell,$652.34,6,4
25,Brandea,$511.60,8,6
26,Dulsea,$3.18,1,1
27,Pat,$176.93,7,6
28,Obadias,$600.51,10,2
29,Patrizio,$100.26,4,3
30,Giffard,$536.53,6,10
31,Lanie,$855.37,7,9
32,Felicdad,$33.59,6,10
33,Janeva,$270.66,4,4
34,Julio,$453.76,7,9
35,Vittoria,$417.83,10,3
36,Nolana,$414.78,5,10
37,Melitta,$381.41,9,9
38,Sidnee,$807.32,1,4
39,Perice,$651.41,1,3
40,Candi,$729.98,4,10
41,Ginnie,$874.48,3,3
42,Micheil,$948.22,8,9
43,Daffy,$92.77,3,4
44,Rik,$691.16,6,2
45,Babara,$552.59,6,9
46,Renie,$504.91,4,7
47,Kissie,$829.52,10,10
48,Pen,$541.23,10,10
49,Minna,$771.04,5,4
50,Renard,$756.28,1,9
51,Viki,$38.26,6,8
52,Vitoria,$477.90,6,8
53,Katine,$962.60,3,5
54,Gallagher,$508.02,3,4
55,Ricard,$707.01,3,8
56,Buffy,$356.53,6,5
57,Charyl,$678.53,2,5
58,Tiffany,$135.75,10,6
59,Hurlee,$587.10,5,4
60,Orazio,$970.25,2,4
61,Johnny,$172.89,7,1
62,Fergus,$583.95,7,9
63,Kirbee,$472.10,3,6
64,Verina,$303.13,7,4
65,Hashim,$81.25,9,1
66,Pauline,$647.97,6,7
67,Shaw,$351.89,7,8
68,Noella,$713.38,6,4
69,Margi,$618.48,6,9
70,Lulu,$983.17,7,6
71,Tilda,$79.92,2,7
72,Augy,$564.86,8,4
73,Claudette,$511.53,1,1
74,Stafani,$364.38,7,4
75,Rodina,$377.34,6,3
76,Rodge,$531.64,8,6
77,Katleen,$329.42,2,7
78,Christina,$875.06,3,10
79,Melvyn,$957.72,7,2
80,Devora,$347.67,7,8
81,Hephzibah,$652.96,6,7
82,Winfield,$116.67,3,9
83,Raymund,$264.73,3,9
84,Natalya,$778.92,5,2
85,Valina,$345.25,1,6
86,Bat,$586.76,8,7
87,Alleen,$712.52,6,6
88,Noach,$282.50,10,3
89,Nisse,$890.97,6,3
90,Herrick,$295.76,4,8
91,Tomi,$489.67,9,2
92,Delores,$712.45,3,7
93,Suzie,$824.45,2,7
94,Karena,$667.31,7,10
95,Gilburt,$856.54,8,9
96,Marina,$844.33,8,5
97,Glenn,$246.33,3,2
98,Mozelle,$505.61,6,9
99,Leela,$67.57,9,6
100,Ailbert,$183.44,1,7
101,Aida,$373.77,7,9
102,Feliza,$963.37,7,10
103,Hiram,$940.02,2,8
104,Sheff,$777.52,2,10
105,Neale,$269.52,6,10
106,Annora,$859.73,7,9
107,Brew,$191.34,10,8
108,Grata,$507.40,6,2
109,Andreana,$43.21,10,2
110,Sisely,$894.37,1,9
111,Coreen,$303.02,6,9
112,Christiane,$319.72,1,1
113,Madge,$754.97,6,5
114,Dag,$439.73,7,10
115,Easter,$240.49,2,7
116,Abagail,$881.89,6,6
117,Gibb,$590.43,9,10
118,Pepito,$92.83,9,1
119,Egon,$657.65,8,4
120,Mahala,$43.16,7,5
