id,nombre,precio,localidad,tipoProducto
1,Ferd,$188.24,3,8
2,Nollie,$584.78,3,8
3,Kelly,$887.78,8,7
4,Vick,$651.07,5,4
5,Rosaleen,$131.19,9,7
6,Isadore,$197.34,4,6
7,Elbertina,$853.11,4,7
8,Dyanna,$447.31,5,4
9,Agretha,$737.80,3,1
10,Delmor,$602.49,10,3
11,Agatha,$690.24,6,6
12,Emmye,$616.84,1,2
13,Herrick,$618.26,7,8
14,Marja,$521.07,6,6
15,Obie,$408.46,1,5
16,Terra,$381.30,9,2
17,Almira,$596.49,2,7
18,Goober,$42.70,8,2
19,Barry,$528.87,8,2
20,Nelson,$822.01,7,4
21,Maje,$882.98,2,1
22,Kaleb,$775.40,8,3
23,Bartolemo,$527.54,8,3
24,Leoline,$519.00,4,5
25,Quintus,$28.22,1,6
26,Tandy,$566.53,7,6
27,Pierrette,$834.27,4,6
28,Brietta,$563.03,5,7
29,Wendie,$142.05,2,9
30,Celina,$514.38,6,5
31,Jude,$323.58,5,1
32,Kellsie,$392.08,5,2
33,Sonia,$613.78,7,9
34,Alfredo,$910.44,1,7
35,Anabel,$719.01,1,9
36,Deirdre,$570.26,10,8
37,Patrice,$574.27,3,6
38,Zak,$211.31,4,6
39,Benedick,$936.70,9,1
40,Ada,$310.14,8,8
41,Justen,$398.35,2,1
42,Gabey,$983.95,9,5
43,Dana,$379.79,5,9
44,Yolane,$966.82,9,1
45,Tanney,$613.75,3,10
46,Stevie,$425.23,9,6
47,Clarie,$75.58,7,2
48,Rollo,$778.33,8,4
49,Leoline,$406.16,6,8
50,Judie,$358.98,8,9
51,Sheree,$889.63,5,6
52,Berny,$89.32,5,7
53,Esteban,$871.02,1,5
54,Pattin,$226.36,4,4
55,Hendrick,$935.33,9,4
56,Philippe,$6.93,5,5
57,Wilhelmina,$551.11,3,3
58,Maurise,$79.98,8,8
59,Any,$166.62,8,10
60,Rudolf,$572.06,2,9
61,Dasie,$611.89,9,10
62,Juliane,$23.66,2,6
63,Ulrikaumeko,$821.49,7,5
64,Nara,$706.04,3,10
65,Clemente,$362.54,2,9
66,Arnoldo,$302.47,6,4
67,Mariquilla,$612.11,3,6
68,Johan,$788.93,10,4
69,Gerti,$342.89,4,5
70,Ulrika,$24.79,4,6
71,Jamill,$483.47,10,6
72,Jamill,$706.85,8,7
73,William,$256.24,4,5
74,Esdras,$374.43,9,3
