code,name,type,vintage,bottleprice,caseprice,class
1,Gan,Maroon,1955-01-06 05:45:01,$56.57,$40.06,677
2,Melany,Red,1906-06-07 01:01:13,$496.73,$577.38,125
3,Flory,Crimson,1959-08-19 01:15:48,$81.45,$90.27,92
4,Laney,Fuscia,1936-03-12 23:18:42,$483.41,$792.87,653
5,Kaile,Khaki,1986-12-04 01:32:40,$84.52,$417.92,303
6,Byram,Mauv,2000-09-13 20:28:20,$26.12,$473.33,785
7,Way,Indigo,1935-08-30 21:03:12,$199.17,$121.80,801
8,Pippy,Indigo,1993-02-02 06:02:59,$774.33,$104.79,696
9,Maribelle,Indigo,1994-09-07 14:55:43,$465.25,$403.86,430
10,Enrica,Goldenrod,1957-04-02 21:18:19,$802.89,$279.80,814
11,Skelly,Turquoise,1984-01-04 12:00:36,$89.28,$774.24,808
12,Dionisio,Violet,1908-10-15 10:20:40,$786.44,$240.23,624
13,Daveta,Goldenrod,2001-06-05 15:28:51,$463.91,$32.04,156
14,Rowland,Goldenrod,1924-05-21 15:17:24,$506.54,$313.47,260
15,Mario,Red,1902-06-08 01:03:50,$686.46,$555.86,5
16,Louella,Maroon,2009-11-09 19:07:56,$867.40,$932.21,325
17,Brigida,Red,1901-06-30 13:43:28,$323.89,$916.11,688
18,Cristal,Teal,1975-09-24 17:06:06,$141.95,$978.70,777
19,Porty,Pink,1940-04-29 04:01:08,$786.52,$440.01,413
20,Izabel,Pink,1963-07-25 00:37:30,$886.06,$686.91,522
21,Beauregard,Puce,2011-12-22 18:05:57,$112.76,$372.01,255
22,Baxter,Green,1922-10-23 12:03:42,$146.98,$981.89,997
23,Fey,Purple,1984-07-09 02:56:55,$132.64,$210.35,109
24,Chiarra,Goldenrod,1923-05-25 08:36:34,$992.88,$228.84,474
25,Artair,Red,1972-04-30 14:07:39,$748.21,$969.89,704
26,Amber,Goldenrod,1928-08-02 13:22:14,$800.21,$436.07,703
27,Gayler,Puce,1982-11-24 22:17:59,$192.24,$522.61,108
28,Archambault,Maroon,1937-04-16 16:47:47,$810.62,$200.25,1
29,Nona,Blue,1916-04-14 01:25:19,$184.59,$846.09,609
30,Karly,Crimson,1925-08-29 01:47:46,$72.24,$714.63,513
31,Evangeline,Violet,2008-03-26 13:15:31,$99.68,$802.11,788
32,Reinald,Maroon,1947-03-02 20:29:10,$946.25,$999.75,480
33,Davin,Red,1934-07-24 00:42:21,$687.23,$299.65,44
34,Salvatore,Turquoise,1952-11-14 04:31:12,$589.38,$737.46,998
35,Ethyl,Indigo,2007-01-02 19:53:17,$651.79,$529.01,458
36,Essa,Violet,1900-09-04 12:29:11,$73.92,$235.83,545
37,Mickie,Orange,2012-10-06 16:42:24,$285.55,$98.16,301
38,Terri-jo,Green,1916-07-19 19:56:50,$784.11,$515.50,579
39,Devonna,Fuscia,1902-01-11 09:45:38,$202.30,$469.61,963
40,Jaime,Red,1969-10-18 03:38:04,$988.77,$311.09,235
41,Ranice,Aquamarine,1999-03-17 02:37:17,$68.00,$692.80,681
42,Diana,Blue,2005-08-20 19:28:27,$872.68,$4.69,90
43,Etti,Khaki,1921-12-03 17:54:35,$509.90,$553.57,592
44,Letitia,Teal,1954-05-08 02:36:50,$233.91,$415.88,770
45,Jeff,Green,2000-07-04 17:32:06,$477.68,$895.97,213
46,Ermentrude,Goldenrod,1932-06-08 13:49:49,$568.42,$521.28,73
47,Gusella,Khaki,1906-06-22 17:17:34,$809.26,$266.33,249
48,Denna,Violet,1920-08-10 03:36:44,$213.33,$913.04,918
49,Olive,Aquamarine,1969-11-30 08:48:48,$668.33,$606.91,149
50,Klara,Green,1922-04-07 21:44:09,$860.27,$26.74,347
51,Gussi,Puce,1943-04-16 22:54:54,$735.19,$44.56,199
52,Wilhelm,Mauv,1994-04-05 23:44:08,$759.15,$337.07,494
53,Merla,Orange,1941-06-26 11:01:24,$786.25,$629.78,336
54,Delphine,Purple,1961-06-10 08:51:30,$725.79,$220.60,155
55,Cherida,Teal,1959-09-23 20:10:41,$320.28,$877.90,500
56,Cobby,Green,1957-04-10 17:51:47,$859.84,$613.09,801
57,Steffen,Red,1910-09-02 06:27:36,$260.82,$590.98,530
58,Lisbeth,Green,1923-04-30 07:28:40,$804.10,$87.66,686
59,Sharity,Orange,1941-02-11 09:41:02,$279.37,$745.36,770
60,Marnie,Crimson,1938-01-23 15:51:53,$805.39,$941.81,568
61,Annabella,Pink,1980-04-23 08:46:38,$726.15,$814.59,842
62,Andrej,Pink,2015-06-26 08:21:33,$990.51,$631.27,898
63,Paquito,Aquamarine,1941-08-05 19:26:35,$710.36,$79.78,58
64,Laura,Puce,1968-02-26 15:32:11,$764.23,$648.84,675
65,Dale,Maroon,1962-10-12 08:35:52,$468.52,$93.44,960
66,Babette,Fuscia,1937-12-07 09:29:53,$275.94,$543.12,29
67,Christabella,Mauv,1938-02-24 09:29:39,$61.14,$443.03,708
68,Jsandye,Yellow,1930-10-20 20:39:18,$732.77,$947.03,62
69,Anjanette,Crimson,1902-01-31 19:42:15,$88.18,$920.32,367
70,Arden,Turquoise,1960-06-04 08:44:57,$581.07,$802.47,302
71,Aleen,Violet,1973-08-22 04:43:12,$241.68,$668.43,710
72,Davey,Red,2009-11-06 17:13:52,$379.93,$932.31,648
73,Lamond,Blue,1955-06-14 13:48:58,$703.78,$105.59,690
74,Kirby,Pink,2010-12-14 18:50:11,$347.57,$906.06,895
75,Yanaton,Goldenrod,1998-03-29 00:25:08,$901.27,$92.57,995
76,Vi,Yellow,1974-04-27 11:03:19,$172.64,$281.93,652
77,Leandra,Mauv,1986-11-27 23:23:42,$113.29,$693.24,976
78,Wendall,Yellow,1913-03-14 05:29:59,$294.18,$826.14,296
79,Hurleigh,Green,1997-11-22 00:41:36,$520.60,$836.19,537
80,Freddie,Aquamarine,1941-11-12 13:06:30,$917.16,$695.26,525
81,Shay,Goldenrod,1914-12-03 05:54:30,$990.15,$742.64,160
82,Simona,Purple,2000-05-17 15:58:50,$600.74,$787.27,750
83,Cordy,Aquamarine,1952-04-14 16:31:10,$363.02,$349.96,534
84,Fernanda,Aquamarine,1953-01-21 20:41:22,$861.77,$173.73,748
85,Jilleen,Puce,1950-10-25 05:32:08,$255.28,$136.37,149
86,Valma,Indigo,1906-12-28 21:09:14,$54.34,$837.14,713
87,Aldo,Green,1936-02-14 04:15:43,$236.15,$281.76,399
88,Annora,Yellow,1998-12-22 21:16:27,$44.55,$163.27,637
89,Darla,Pink,1980-04-30 06:43:19,$142.44,$997.12,111
90,Zuzana,Fuscia,1929-08-08 16:32:47,$507.53,$949.19,174
91,Gabriele,Indigo,1980-03-17 00:07:21,$485.83,$921.57,95
92,Phedra,Yellow,1940-09-12 13:18:59,$348.74,$73.58,332
93,Brit,Purple,1925-09-18 16:28:46,$781.99,$266.78,73
94,Rutger,Green,2002-08-17 21:52:56,$96.13,$192.81,381
95,Cate,Purple,1971-02-18 04:21:10,$909.95,$699.83,238
96,Corella,Blue,1950-01-11 17:36:03,$368.68,$479.80,344
97,Elbertine,Orange,1927-12-01 06:51:36,$596.32,$585.41,350
98,Tamarah,Puce,1921-02-13 21:24:48,$154.87,$960.08,202
99,Isak,Green,1960-03-12 11:55:40,$205.13,$193.63,55
100,Joel,Blue,1927-09-14 01:03:55,$709.13,$854.58,847
101,Melisse,Fuscia,2014-12-20 22:22:55,$980.12,$185.63,375
102,Terence,Green,1936-02-16 16:02:18,$323.42,$243.98,283
